id,first_name,last_name,sex,date_of_birth,hometown,latitude,longitude,preferred_temperature,preferred_travel_time,preferred_transport_mode
22,Jack,Douglas,m,1988-11-22,Brent,51.55853285180073,-0.267793002118232,0,10,train
23,Edward,Jackson,m,1958-07-09,Le Mans,47.98873236845262,0.21106103231656625,16,11,train
24,Jeremiah,Sullivan,m,1962-03-29,Leicester,52.63794634376605,-1.1284270167517696,24,2,flight
25,Marc,Smith,m,2006-08-09,Leuven,50.88223087247345,4.705864025164426,23,12,train
26,Joshua,Zamora,m,1948-01-31,Włocławek,52.66126441387198,19.057505584144693,25,10,train
27,Peggy,Neal,f,1966-05-11,Caen,49.20334786114989,-0.34953197927652935,10,10,train
28,Shelby,Ibarra,f,1985-02-06,Wolverhampton,52.58920034000332,-2.1209780194068983,16,8,flight
29,Rhonda,Kelley,f,1958-04-06,'s-Gravenhage,52.06846386666703,4.300611511666192,31,2,flight
30,John,Castaneda,m,1956-08-23,Pescara,42.45588343697574,14.203268120294506,9,15,train
31,Cody,Lopez,m,1986-01-20,Herne,51.53749237919459,7.208648029868081,18,3,train
32,Tommy,Hernandez,m,1980-11-25,Brent,51.55853285180073,-0.267793002118232,27,9,train
33,Amanda,Wade,x,1965-01-11,Hillingdon,51.54154735096049,-0.44562450210033067,15,1,flight
34,Donna,Harvey,x,1973-09-30,Brighton and Hove,50.844538855368405,-0.1339394943861348,29,1,train
35,Jason,Clark,m,1950-04-22,Breda,51.5847618702555,4.761253517883811,32,2,train
36,Lance,Marshall,m,1979-03-23,Lyon,45.75795939368164,4.856702566124633,32,7,flight
37,Joseph,Downs,m,1993-12-17,Bruxelles / Brussel,50.836054371263224,4.370656523535053,37,23,train
38,Marilyn,Gamble,f,2003-03-25,Hamm,51.665211381020114,7.8235420313635515,17,17,train
39,Kara,Kerr,f,1964-08-07,Berlin,52.501530896616806,13.401850553093169,23,20,train
40,Chelsea,Walker,f,1959-02-21,Berlin,52.501530896616806,13.401850553093169,30,11,train
41,Teresa,Garcia,f,1957-08-21,Cheshire West and Chester,53.16774733505537,-2.8410290287125264,14,5,train
42,Christopher,Ramos,x,1969-09-25,Nancy,48.67342238626005,6.193630049729436,19,8,flight
43,Samantha,Young,f,2003-02-08,Roma,41.88561543435591,12.46086161630812,33,14,train
44,Amy,Chambers,f,1991-04-01,Wrocław,51.12769191278455,16.99608458367413,28,9,train
45,Kimberly,Diaz,f,1958-10-14,Waltham Forest,51.5940453522169,-0.012591000839427529,16,2,flight
46,Carolyn,Bentley,x,1995-03-07,Barcelona,41.40100090411096,2.150637084471251,12,2,flight
47,Zachary,Gonzalez,x,1967-03-21,Terrassa,41.57530590297708,2.0081330832306303,9,14,train
48,Jonathon,Frost,m,1981-03-25,Birmingham,52.48866284172209,-1.8746500173981087,17,4,flight
49,Julie,Hall,x,2002-09-05,Rotterdam,51.92429436692899,4.329424013166939,33,1,train
50,Janice,Wilson,f,1964-08-25,Huelva,37.27300089915513,-6.929785408237093,10,5,train
51,Denise,Pruitt,f,1966-01-18,Zürich,47.38273439984919,8.530693069154056,28,1,flight
52,Kayla,Herman,f,1961-05-28,Móstoles,40.318624891242656,-3.8901309216716315,27,5,train
53,Caleb,Hunter,m,1984-02-13,Athina,37.988880483280404,23.73603517129472,12,15,train
54,Julia,Watkins,f,1984-02-29,Ostrava,49.81409242160593,18.246209598864205,13,5,train
55,Alexander,Carrillo,m,1967-06-14,Leipzig,51.3421743975741,12.374768557730988,7,20,train
56,Laurie,Brown,f,1969-05-29,Milano,45.46844740918378,9.1729385842972,18,3,flight
57,Thomas,Martin,m,1996-10-09,Ede,52.076406371797276,5.728045018371365,24,3,flight
58,Sara,Roberts,f,1952-04-23,Stuttgart,48.774544396573845,9.172073061100896,29,19,train
59,Michael,Doyle,m,1976-09-01,Linköping,58.3715338824268,15.598840508708218,26,1,flight
60,Michael,Adams,m,1992-04-15,Newport,51.579429341104436,-2.9658300123487784,21,4,train
61,Johnathan,Benson,m,1974-08-16,Frankfurt am Main,50.11794838937907,8.64419104798588,17,19,train
62,Christina,Crawford,f,1976-02-07,Koszalin,54.20204039941964,16.20598505465331,6,5,train
63,William,Black,m,2001-05-23,Neu-Ulm,48.380619401011565,10.052748067737827,15,2,flight
64,Peter,Brown,m,2007-06-02,Rouen,49.413053365082355,1.02747902247825,15,4,flight
65,Meredith,Grant,f,1963-06-29,Dacorum,51.77817984939712,-0.5408055051097275,1,17,train
66,Kayla,Turner,f,2000-07-03,Wuppertal,51.25060738029886,7.168951032921459,9,12,train
67,Martin,Stuart,m,1980-02-07,Timişoara,45.76426894510867,21.201888135565795,30,2,flight
68,Sarah,Jackson,f,1956-05-11,Aschaffenburg,49.96385639148349,9.145813551996337,16,11,train
69,Michelle,Chandler,f,1972-12-20,Nottingham,52.960635842004024,-1.1764805207413322,19,14,train
70,Kimberly,Baldwin,f,1995-11-15,Viladecans,41.30315840464265,2.0318305852955763,14,23,train
71,Robert,Flores,x,1996-03-22,Osnabrück,52.27766837931611,8.04696802674818,16,5,flight
72,Alex,Barnes,m,1968-04-25,Berlin,52.501530896616806,13.401850553093169,22,6,train
73,Theodore,Dunlap,m,1964-05-26,Hamburg,53.54765288129551,10.011885524725471,8,0,train
74,Leslie,Johnson,f,1987-04-11,Neubrandenburg,53.54158089238591,13.248887042855914,33,0,flight
75,Randy,Bryant,m,1994-10-22,Vila Nova de Gaia,41.07444687214968,-8.580531933826416,25,11,train
76,David,Zuniga,m,1947-10-30,Birmingham,52.48866284172209,-1.8746500173981087,5,4,train
77,Judith,Rice,f,1977-11-08,Leverkusen,51.053108379966275,7.015400532717327,21,9,train
78,William,Ellis,m,1956-10-12,Châlons-en-Champagne,48.97336987895588,4.3760175397538905,29,12,train
79,Robin,Smith,f,1994-02-20,Sheffield,53.40448833848201,-1.5504635263170954,6,0,train
80,Rachel,Becker,f,1965-12-17,Southwark,51.47312535239425,-0.0745540004079525,24,0,train
81,Christine,Torres,f,1966-01-31,Paris,48.85660037259063,2.342805032028295,-7,1,train
82,Rachel,Porter,f,1978-01-30,Larisa,39.64421147199142,22.40558016154085,52,5,flight
83,Maria,Jones,f,1954-03-26,Toulon,43.11990090877171,6.040283086365885,39,3,flight
84,Kevin,Johnson,m,1993-09-28,Pleven,43.40670796305364,24.618921160578704,15,17,train
85,Megan,Campbell,f,1961-04-29,Wałbrzych,50.78644591203267,16.29002808233728,21,12,train
86,Stacy,Hurst,f,1996-07-04,Novara,45.43958940760319,8.615682581340025,1,2,flight
87,Robert,Fields,x,1978-01-04,Ostrava,49.81409242160593,18.246209598864205,9,21,train
88,Michele,Myers,f,1969-08-07,Alicante/Alacant,38.382946411094196,-0.5377914037629685,-1,11,train
89,Gina,Hall,f,2001-09-16,Getxo,43.35580637825836,-3.0096439410658786,19,0,flight
90,Michael,Garcia,m,1950-01-04,Bucureşti,44.441482963296046,26.087619164024186,20,20,train
91,Kenneth,Lewis,x,1985-07-08,Harrow,51.59772385154827,-0.34120050270204433,9,21,train
92,Brianna,Knox,f,1980-07-14,Verona,45.448699915073064,11.002231091052359,28,3,flight
93,Amy,Gentry,f,1993-08-08,Móstoles,40.318624891242656,-3.8901309216716315,19,3,train
94,Jennifer,Barron,f,1977-11-28,CC des Coteaux de la Seine,48.85495737146611,2.1269640314721103,24,7,train
95,Mckenzie,Butler,f,1963-01-23,Marseille,43.307875405980376,5.421837583654458,24,6,train
96,Crystal,Lindsey,f,1988-05-01,Montpellier,43.615608899928596,3.863217075771536,27,4,train
97,Diana,Wallace,f,1982-03-30,Barcelona,41.40100090411096,2.150637084471251,35,2,flight
98,Leonard,Navarro,x,1975-11-18,Grudziądz,53.47218241033074,18.773441076605163,6,19,train
99,Marcus,Estrada,m,1964-11-16,Mannheim,49.49939039089092,8.50036605281845,26,25,train
100,Justin,Wiley,m,1954-09-14,Daugavpils,55.89088892412638,26.542079608916758,13,7,train
101,Susan,Patterson,f,1950-06-20,Kuopio,62.84039940037092,27.653604049006162,19,13,train
102,Joshua,Bond,x,1947-12-01,Stoke-on-trent,53.018106338324365,-2.164492024083208,13,13,train
103,Joshua,Mendoza,m,1964-12-30,Piteşti,44.85559245922401,24.85949165613395,27,2,train
104,Catherine,Walsh,f,1974-08-19,Wandsworth,51.45136985193453,-0.18635500010782682,17,7,flight
105,Rebecca,Weeks,f,1967-06-23,Helsingborg,56.06592638177117,12.78647051602282,20,17,train
106,Grant,Prince,m,1974-07-07,Sibiu,45.79751195304158,24.14051764971376,48,10,train
107,Tyler,Cantrell,m,1985-09-15,Sofia,42.70551696319418,23.3597601566759,31,4,flight
108,Kayla,Nelson,f,1954-12-07,Leiden,52.155016366564794,4.485236512143166,34,3,train
109,Janet,Lopez,f,1957-05-28,Mulhouse,47.77093639414953,7.3300340603388845,10,11,train
110,Joe,Montgomery,m,1954-07-03,Waltham Forest,51.5940453522169,-0.012591000839427529,12,3,train
111,Melissa,Hall,x,1997-06-22,Bydgoszcz,53.13129040911952,18.052590075504426,21,10,train
112,Kelsey,Hayden,f,1947-04-18,Perugia,43.13647642836103,12.395000109643219,37,1,flight
113,Steven,Turner,m,1958-09-01,Galaţi,45.48782846568037,28.079457170022327,31,16,train
114,Elizabeth,Butler,f,1994-06-04,St. Helens,53.45955583370904,-2.723607032007504,21,3,flight
115,Chelsea,Ellis,f,1969-12-30,Napoli,40.85667344334207,14.23935662736585,31,10,train
116,Erica,Collins,f,1987-05-11,CA Val et Forêt,49.0084803713987,2.2634110316867826,36,3,train
117,Jill,Moody,x,1973-05-28,Arnhem,52.00109137240909,5.892578519132243,24,16,train
118,Kimberly,Watson,f,1954-02-11,Hilversum,52.223355869066985,5.16792601437587,7,2,flight
119,Elizabeth,Carrillo,f,1953-12-15,München,48.15320390650567,11.547254076048949,22,8,flight
120,Randy,Miller,m,1964-05-28,Islington,51.548450852176295,-0.11019650107428684,32,0,train
121,Shawn,Torres,m,1982-10-28,Alcalá de Henares,40.49450239116985,-3.3696329220176966,11,11,train
122,Michael,Ballard,x,1988-09-26,Torino,45.071739405866,7.678005080342866,3,1,train
123,Janet,Martinez,f,2003-09-01,Amsterdam,52.372927867672,4.889001010591849,14,5,train
124,Kimberly,Reid,f,1973-08-17,Thurrock,51.509150853817516,0.36788350062005254,7,2,train
125,Cynthia,Lee,f,1957-05-30,Firenze,43.77995842256664,11.244961101413736,19,19,train
126,Danielle,Bartlett,f,1962-09-13,Verona,45.448699915073064,11.002231091052359,15,1,flight
127,Kimberly,Owens,f,1963-03-12,Zagreb,45.80990792970964,16.000011611245,32,6,train
128,Juan,Mckinney,m,1966-01-23,Pardubice,50.0301924128273,15.763685585232949,21,5,train
129,Timothy,Cervantes,x,1964-07-24,Warszawa,52.229342421404866,21.047727599631816,14,1,train
130,Amy,Griffin,f,1961-08-10,Panevėžys,55.73042941865411,24.346777094785477,6,11,train
131,Jessica,Rush,f,1966-12-31,Perpignan,42.74958990051725,2.8467865787503435,17,16,train
132,Katrina,Hart,f,1959-07-12,Amsterdam,52.372927867672,4.889001010591849,-5,16,train
133,Timothy,Campbell,m,1978-11-03,Dublin,53.35916231997213,-6.258341542015994,15,19,train
134,Douglas,Hughes,m,2006-07-20,Stuttgart,48.774544396573845,9.172073061100896,4,9,train
135,Kenneth,Figueroa,m,1973-04-13,Köln,50.94566738051823,6.973237033864535,0,3,flight
136,Christine,Spencer,f,1986-09-09,München,48.15320390650567,11.547254076048949,24,26,train
137,Shawn,Friedman,m,1983-06-15,Lille,50.65001386778346,3.047986019489509,21,3,flight
138,Mary,Miles,f,1993-05-22,Rimini,44.03883492587881,12.530451105378036,17,2,flight
139,Gregory,Mercer,m,1969-01-09,Roma,41.88561543435591,12.46086161630812,32,4,flight
140,Lauren,Johnson,f,1953-11-12,Uppsala,59.94487438285977,17.716173504529294,9,17,train
141,William,Martinez,m,1947-11-14,Iaşi,47.1568894578878,27.590529161849098,-12,11,train
142,Austin,Mitchell,m,1995-10-01,Mollet del Vallès,41.54895790389979,2.210031084640469,3,5,train
143,Robert,Stevens,m,1968-01-19,Praha,50.06679040878253,14.466016578335703,24,8,flight
144,Hayley,Bowman,f,1950-12-21,Siegen,50.88107538426582,8.011704039981241,30,11,train
145,Deborah,Newman,f,1964-10-02,Le Mans,47.98873236845262,0.21106103231656625,13,2,train
146,Steven,Ortega,m,1958-01-04,Düsseldorf,51.23549487861018,6.810182031372937,7,25,train
147,Dennis,Brown,m,2004-02-10,Heilbronn,49.15271189459014,9.182341058044212,23,16,train
148,Matthew,Hodges,m,1985-07-18,Dresden,51.06644140283357,13.78345606722441,27,0,flight
149,Sarah,Gomez,f,1989-01-22,Bourges,47.059812880088806,2.379429047592682,34,8,train
150,Michael,Cardenas,m,1999-02-04,Lambeth,51.45307385213257,-0.11820550045341754,27,26,train
151,Angela,Warren,f,1945-02-01,Toulouse,43.627354391889114,1.4132455691666788,1,13,train
152,Jason,Kelly,m,1967-07-16,Southampton,50.91987834969913,-1.3989809990162205,14,12,train
153,Paul,Jackson,m,1956-12-26,Nice,43.80641840930204,7.234116085927058,25,0,flight
154,Tracy,Bailey,f,1950-12-15,Esslingen am Neckar,48.74129239665477,9.326524062338043,28,16,train
155,Ryan,Thompson,x,1945-05-02,Roma,41.88561543435591,12.46086161630812,13,13,train
156,Anthony,Castro,x,1967-09-25,Bydgoszcz,53.13129040911952,18.052590075504426,14,1,train
157,Robert,Neal,m,1999-02-22,Essen,51.433845879183174,7.017192530171523,24,3,flight
158,Mikayla,Green,f,1995-02-17,Ploieşti,44.93390596200347,26.019496161740832,34,7,flight
159,Dustin,Harrison,m,1987-11-21,Vila Nova de Gaia,41.07444687214968,-8.580531933826416,22,2,flight
160,Richard,Evans,m,2002-10-15,Blackpool,53.81789433153904,-3.029234536841674,31,16,train
161,Curtis,Vega,m,1964-08-16,Heilbronn,49.15271189459014,9.182341058044212,27,21,train
162,Brooke,Cox,f,1953-06-26,Lyon,45.75795939368164,4.856702566124633,21,5,flight
163,James,Orozco,m,1980-02-07,Moers,51.45274387754454,6.619953527968776,16,10,train
164,Carrie,Webb,f,1972-05-08,Faro,37.05513539756149,-7.918355906926212,3,1,train
165,Raymond,Phillips,m,1983-06-01,Aveiro,40.6422003746424,-8.628294431068822,21,3,flight
166,Christopher,Edwards,m,1949-10-06,Kraków,50.0531569263703,19.985059607469502,13,9,train
167,James,Moore,m,1990-12-13,Nyíregyháza,47.93855093845752,21.70849712777077,37,13,train
168,Michael,Poole,m,2006-05-25,Berlin,52.501530896616806,13.401850553093169,20,16,train
169,David,Palmer,m,2001-02-09,Lahti / Lahtis,60.97809390273465,25.68338455553714,14,15,train
170,Kyle,Oconnell,m,1945-06-09,Hamburg,53.54765288129551,10.011885524725471,8,2,flight
171,James,Powell,m,1957-10-20,Milano,45.46844740918378,9.1729385842972,26,8,train
172,Sharon,Conner,f,2001-10-08,Odense,55.385056375744306,10.371786008548263,40,10,train
173,Debbie,Boyd,f,1947-05-04,Hénin - Carvin,50.43936736808637,2.969306021579718,33,17,train
174,Patricia,Mays,f,1995-06-08,Warszawa,52.229342421404866,21.047727599631816,36,11,train
175,Dylan,Cummings,m,1983-08-05,Pordenone,45.953833918490616,12.657187595573467,17,3,flight
176,Donna,Hooper,f,1964-12-11,Catania,37.4420889608842,15.035896142551264,25,13,train
177,Samuel,Tucker,m,1999-12-13,Hamburg,53.54765288129551,10.011885524725471,17,3,flight
178,Debbie,Liu,f,1971-09-21,Kassel,51.31149538763535,9.460352542220855,18,20,train
179,Tina,Gonzalez,f,1960-11-09,Bologna,44.49798042031044,11.333439598403153,27,7,flight
180,Kimberly,Ramirez,f,1952-02-23,Bucureşti,44.441482963296046,26.087619164024186,26,4,train
181,Victor,Mason,m,1974-09-19,Northampton,52.24126234652391,-0.8868510111423317,4,2,flight
182,Ashley,Turner,f,1997-09-29,Košice,48.70355143408725,21.228480121550373,29,8,train
183,Marisa,Kelly,f,1961-01-22,Aalborg,57.012916367985575,9.962707487244456,13,9,train
184,Norma,Miranda,x,2001-06-25,Giugliano in Campania,40.929103443080805,14.101687626619453,32,16,train
185,George,Decker,m,1951-05-05,Budapest,47.48387093258584,19.107573117792477,18,7,train
186,Mario,Harper,m,1945-07-17,Leeds,53.82579933738071,-1.5059645322102488,6,5,flight
187,Lauren,Neal,x,2001-02-19,Reggio di Calabria,38.112779459610636,15.718228641949086,27,2,flight
188,Marissa,Woods,f,1961-07-08,Bratislava,48.14883742385323,17.119099104066112,-2,4,train
189,Rachel,Carpenter,f,1971-08-29,Rostock,54.147435385872484,12.143010531804284,14,12,train
190,Shelia,Flores,f,1990-10-30,Arnhem,52.00109137240909,5.892578519132243,23,11,train
191,Justin,Randolph,m,1955-12-15,Manchester,53.45153883633669,-2.2324810296275657,9,11,train
192,Jennifer,Murphy,f,2000-02-26,Bucureşti,44.441482963296046,26.087619164024186,31,11,train
193,Sabrina,Tucker,f,1945-10-13,Amadora,38.75981488374906,-9.229510918934961,3,16,train
194,Joseph,Alexander,x,1966-11-20,Basildon,51.59013735374511,0.46632050026617594,16,10,train
195,Ashley,Cantrell,f,1965-01-02,Łódź,51.76649091878384,19.480261593001654,28,23,train
196,Jeremy,Morris,x,1975-06-06,Zoetermeer,52.06088436715091,4.489768511885256,18,12,train
197,Ashley,Wilson,f,1989-02-19,Braga,41.544485370404296,-8.42091993775306,35,23,train
198,Jason,Thomas,m,1996-04-01,Gdańsk,54.359197406997055,18.634777568204512,36,2,train
199,Barbara,Rice,f,1991-04-28,Limoges,45.84915388172857,1.2497255532217444,5,18,train
200,Robert,Hodge,m,1989-08-23,Caserta,41.08744944266304,14.357478125979526,30,2,train
201,Jacqueline,Shaw,f,1951-12-11,Budapest,47.48387093258584,19.107573117792477,11,0,train
202,Larry,Moran,m,1951-11-07,Ealing,51.52246485152963,-0.33096050248284953,23,12,train
203,Justin,Thompson,m,1960-04-27,Sant Boi de Llobregat,41.335034903991556,2.0421400853161833,21,0,train
204,Jeffrey,Oconnor,m,1953-01-22,Paris,48.85660037259063,2.342805032028295,17,1,flight
205,Joshua,Becker,m,1976-12-16,Terrassa,41.57530590297708,2.0081330832306303,11,0,flight
206,Christine,Fox,f,2003-06-28,Barcelona,41.40100090411096,2.150637084471251,1,19,train
207,Kenneth,Fritz,m,2006-07-16,Orléans,47.897835874459474,1.9293650391825232,21,17,train
208,Allen,Johnson,m,1971-12-28,Berlin,52.501530896616806,13.401850553093169,10,0,flight
209,Mark,Carr,m,1998-05-30,Roma,41.88561543435591,12.46086161630812,14,15,train
210,Mallory,Dillon,f,2005-10-03,Nantes,47.22488436562192,-1.5937274662741499,19,12,train
211,Wesley,Chandler,x,1963-01-25,Bournemouth,50.741775349074196,-1.8578279989704416,27,15,train
212,Ashley,Pearson,f,1974-03-15,Enfield,51.65099585170581,-0.08718200169816798,25,14,train
213,Haley,Nielsen,f,1971-02-22,Hamburg,53.54765288129551,10.011885524725471,19,23,train
214,Nicole,Ward,f,1982-11-16,Sofia,42.70551696319418,23.3597601566759,15,2,flight
215,Frank,Hudson,m,1958-01-31,Wien,48.20843842145425,16.377868099114387,4,9,train
216,George,Wu,m,1999-09-18,Oulu / Uleåborg,65.03555638725337,26.14643950534666,29,12,train
217,Julia,Pena,f,1979-06-04,Chemnitz,50.82634040128421,12.9117920642305,25,1,train
218,Donald,Osborn,m,2000-01-07,Bourges,47.059812880088806,2.379429047592682,20,0,flight
219,Denise,Scott,f,2003-11-27,Bucureşti,44.441482963296046,26.087619164024186,16,0,flight
220,Joshua,Morrison,m,1990-02-19,Zabrze,50.31564192151175,18.786831098451298,30,18,train
221,Robert,White,m,2005-09-01,Luton,51.894219349351495,-0.4255670056004259,12,0,train
222,Kathy,Carter,f,1969-11-16,Birmingham,52.48866284172209,-1.8746500173981087,2,2,train
223,Christopher,Barker,m,1976-06-13,Zaragoza,41.68078239347294,-0.9275409243012062,12,12,train
224,Elizabeth,Pope,f,1996-06-27,Brive-la-Gaillarde,45.17146838508353,1.510604057882515,12,17,train
225,Christian,Moore,m,1961-08-12,Bath and North East Somerset,51.35597684399286,-2.475192507717819,21,5,train
226,Deborah,Dennis,f,1952-12-16,Roma,41.88561543435591,12.46086161630812,5,0,flight
227,Brian,Chandler,m,1955-07-01,Leuven,50.88223087247345,4.705864025164426,17,6,train
228,Rachel,Obrien,x,1946-03-08,Leeds,53.82579933738071,-1.5059645322102488,15,28,train
229,Kimberly,Cooper,x,1997-04-26,Praha,50.06679040878253,14.466016578335703,4,5,train
230,Valerie,Blevins,f,1989-01-31,Cluj-Napoca,46.781525448563066,23.610352143034664,21,15,train
231,Sean,Moore,m,1952-08-04,Montbéliard,47.485550893408245,6.831912560307601,25,1,flight
232,Juan,Cox,m,2004-01-20,Larisa,39.64421147199142,22.40558016154085,15,6,train
233,Jessica,Andrews,f,1984-07-22,Catania,37.4420889608842,15.035896142551264,16,0,flight
234,Michael,Griffith,m,1964-06-15,Ljubljana,46.05426942415477,14.562960102777554,14,21,train
235,Heidi,Moyer,x,1984-08-11,Derby,52.91257984119828,-1.4683030204670142,20,3,flight
236,Andrea,Hess,f,1999-09-26,Greenwich,51.47282485269071,0.05630350012260533,21,11,train
237,Kyle,Pollard,m,1961-12-29,Warszawa,52.229342421404866,21.047727599631816,4,12,train
238,Christian,Huber,m,1949-09-01,Liverpool,53.40398783305454,-2.916680032037473,18,2,train
239,Sandra,Calderon,f,1951-05-17,Warszawa,52.229342421404866,21.047727599631816,28,17,train
240,Kathy,Adkins,f,1995-05-31,Bologna,44.49798042031044,11.333439598403153,26,10,train
241,James,Hoover,m,1964-02-26,Zagreb,45.80990792970964,16.000011611245,31,5,train
242,Kristen,Martinez,f,1968-05-15,Szczecin,53.431805897306205,14.614140551665848,27,10,train
243,Mariah,Moore,x,1992-12-05,Toulouse,43.627354391889114,1.4132455691666788,12,2,train
244,Debbie,Perry,f,1997-05-20,Rotterdam,51.92429436692899,4.329424013166939,25,20,train
245,Michelle,Wagner,f,1968-03-26,Napoli,40.85667344334207,14.23935662736585,20,1,train
246,Ann,Taylor,x,1987-11-14,Saint-Etienne,45.47030839398074,4.467540065595988,22,3,flight
247,Sandra,Reilly,f,2003-08-28,Sassari,40.74465292593446,8.364321607548721,19,14,train
248,Travis,Hernandez,m,1951-01-29,Milton Keynes,52.08385434764644,-0.7334630098889865,11,1,train
249,Colleen,Velazquez,x,1951-08-13,Praha,50.06679040878253,14.466016578335703,8,9,train
250,Colton,Stewart,m,1975-10-25,Gdańsk,54.359197406997055,18.634777568204512,2,0,flight
251,Thomas,Miller,m,1988-06-29,Freiburg im Breisgau,47.992567894820525,7.818127561720919,27,3,train
252,Robert,Shaw,m,1974-12-17,Albacete,38.95620290434851,-1.8917539100237637,29,5,train
253,Kenneth,Hernandez,m,1951-10-29,Camden,51.54637435197856,-0.15734650177568965,18,13,train
254,Kaitlin,Williams,f,1959-04-21,Hackney,51.55223785194844,-0.06334400141587329,25,21,train
255,Patricia,Stephenson,x,1952-07-14,Jönköping,57.817396879361716,14.216103004821855,24,4,flight
256,Laura,Martinez,f,1951-07-27,Paris,48.85660037259063,2.342805032028295,7,9,train
257,Meagan,Bauer,f,1983-04-07,Milano,45.46844740918378,9.1729385842972,14,0,flight
258,Benjamin,Ruiz,m,1982-05-19,Örebro,59.26405837772792,15.331018995382108,19,12,train
259,Wyatt,Peck,m,1999-06-25,Zaragoza,41.68078239347294,-0.9275409243012062,21,8,train
260,Nicholas,Luna,m,1992-12-07,Kingston upon Thames,51.38786935198867,-0.2868880007734268,25,0,flight
261,Elizabeth,Gallagher,f,1964-12-11,Lyon,45.75795939368164,4.856702566124633,6,7,train
262,Aaron,Anderson,m,1989-11-05,Würzburg,49.78465589502347,9.940895557516175,13,15,train
263,Crystal,Baker,f,1995-07-12,Iaşi,47.1568894578878,27.590529161849098,19,15,train
264,Paul,Chen,m,1957-08-25,Opole,50.66124291716312,17.94094259241088,20,12,train
265,Mike,Sheppard,m,1957-04-02,Warszawa,52.229342421404866,21.047727599631816,23,2,flight
266,Lucas,Cline,m,1965-11-24,Valladolid,41.66161388072258,-4.7772079323302865,9,27,train
267,James,Cohen,m,1948-04-29,Jönköping,57.817396879361716,14.216103004821855,17,10,train
268,Samantha,Chase,f,1945-03-14,CA Val de France,48.99060787200509,2.3976625310518513,14,8,train
269,Nancy,Henson,f,1980-07-29,Telford and Wrekin,52.730241337564266,-2.4887495231608363,24,7,flight
270,Garrett,Pierce,m,1954-12-26,Lemesos,34.71757152466451,33.07050070575859,37,3,flight
271,Robert,Mathis,m,1946-06-22,Limoges,45.84915388172857,1.2497255532217444,25,12,train
272,Pamela,Wheeler,f,1990-02-05,Birmingham,52.48866284172209,-1.8746500173981087,24,20,train
273,Timothy,Young,m,1993-10-30,Narva,59.354172914831686,28.108814091043314,17,4,train
274,Samantha,Barron,f,1967-02-22,Varna,43.20340497316684,27.916832175277843,17,10,train
275,Miguel,Smith,m,1962-05-23,Lambeth,51.45307385213257,-0.11820550045341754,-13,9,train
276,Stephanie,Lewis,f,1948-12-23,Coventry,52.41687734352867,-1.5197780156424332,19,9,train
277,John,Baker,m,1957-07-16,Trieste,45.664012922762744,13.798628602691307,25,5,flight
278,Amanda,Frederick,f,1993-05-28,Westminster,51.51390235185948,-0.16122600155497002,10,3,flight
279,Sonya,Waters,f,1980-01-15,Metz,49.10507788493888,6.13815804551904,24,3,train
280,Lindsey,Wilson,f,1988-07-06,Wuppertal,51.25060738029886,7.168951032921459,26,4,flight
